date,monthly_ic
2017-03-31,0.11991341991341993
2017-04-30,-0.16094624860022397
2017-05-31,-0.002808653176422564
2017-06-30,-0.0680251560985506
2017-07-31,0.13440144014401437
2017-08-31,-0.04332044504063758
2017-09-30,0.08165616561656165
2017-10-31,0.09992651468083927
2017-11-30,0.049326145552560645
2017-12-31,0.14759075907590757
2018-01-31,-0.15118183703089363
2018-02-28,-0.053177491601343795
2018-03-31,-0.10279908770474808
2018-04-30,0.2826412052705047
2018-05-31,0.22362328967833556
2018-06-30,-0.062121212121212126
